step,lr,train_loss,val_loss,test_loss
4462,0.002890628789517878,1.1845883226394653,1.2238165882110597,1.217131699371338
4559,0.0028844932828268398,1.2027261209487916,1.2291166471481323,1.2259111562728882
4656,0.0028781972231503978,1.211699960231781,1.2352621738433838,1.2318978591918945
4753,0.0028717413406121224,1.2049706029891967,1.23264165725708,1.228305037689209
4850,0.002865126383869466,1.197306640148163,1.2222864990234374,1.2176125982284547
4947,0.0028583531200269477,1.1838975954055786,1.2096619863510132,1.205988272857666
5044,0.002851422334547194,1.194232861995697,1.2240433708190919,1.2195339500427247
5141,0.0028443348311598536,1.1845976066589357,1.2049867546081543,1.2003168437957763
5238,0.002837091431768393,1.1774167251586913,1.2098813320159911,1.205937109375
5335,0.0028296929763547835,1.1819414114952087,1.2160975240707397,1.2099106006622316
5432,0.0028221403228820916,1.1766276025772096,1.2123894886016846,1.2063953968048096
5529,0.0028144343471949887,1.1713304471969606,1.2011648777008057,1.1996973628997802
5626,0.00280657594291818,1.1731662034988404,1.2026278198242188,1.1977052114486695
5723,0.0027985660213527765,1.1542157912254334,1.1881172290802002,1.1839963453292848
5820,0.0027904055113706157,1.156818494796753,1.1872121459960938,1.1812856197357178
5917,0.002782095359306546,1.1742744779586791,1.2028477640151978,1.1977647764205932
6014,0.002773636528848683,1.1575963497161865,1.1994639104843139,1.1924805379867554
6111,0.002765030000926657,1.153212504386902,1.1863286275863647,1.1817138690948485
6208,0.002756276773597856,1.158932821750641,1.1849124071121215,1.179745335006714
6305,0.002747377861931691,1.1564079165458678,1.1828814973831177,1.1772669452667237
6402,0.002738334297891879,1.1449260640144348,1.1787339305877687,1.1753664302825928
6499,0.002729147130216774,1.1664554214477538,1.1984573041915894,1.1959770303726196
6596,0.002719817424297746,1.1684191155433654,1.1911228633880615,1.190631886291504
6693,0.002710346262055638,1.1469651341438294,1.1746274131774903,1.1701944988250732
6790,0.002700734741815297,1.1522235989570617,1.1851009868621827,1.182141749572754
6887,0.002690983978178208,1.1378878235816956,1.1653620433807372,1.161441592979431
6984,0.0026810951018932383,1.153517370223999,1.1748134746551513,1.1727732313156127
7081,0.0026710692597255114,1.1455646705627442,1.1718731010437011,1.1678278835296632
7178,0.0026609076143234204,1.1439638352394104,1.1661814868927003,1.1623204727172851
7275,0.0026506113440838037,1.1276471734046936,1.1591168910980225,1.1524428440093994
7372,0.0026401816430152883,1.1354550623893738,1.166806681060791,1.162499011039734
7469,0.00262961972059983,1.1516323566436768,1.1697979404449463,1.1682164258956909
7566,0.0026189268016524555,1.134606921672821,1.1593416828155518,1.1537797328948975
7663,0.002608104126179223,1.1367008781433106,1.1580752529144287,1.1538504573822022
7760,0.002597152949233428,1.1248407697677612,1.151708841896057,1.1469707370758058
7857,0.002586074540770061,1.1181719136238097,1.1495976285934448,1.1432146224975586
7954,0.002574870185498533,1.1137787652015687,1.1489692993164062,1.1432426872253418
